"id","paginafb"
3561452,"https://www.facebook.com/BosphorousTurkishCuisineDrPhillips/"
3561455,"https://www.facebook.com/charlestongrill"
3561456,"https://facebook.com/ruthschriswb/?locale2=de_DE"
3561457,"https://www.facebook.com/pages/category/New-American-Restaurant/grovegr/about/"
3561458,"https://facebook.com/Carlos.Bistro/?locale2=de_DE"
3561459,"https://www.facebook.com/TheCottageLaJolla/?locale2=de_DE"
3561460,"https://facebook.com/Dogtown-118100934899318/"
3561461,"https://www.facebook.com/butterfieldsaz/"
3561463,"https://www.facebook.com/BosphorousTurkishCuisineLakeNona/"
3561465,"https://facebook.com/SlimandHuskyBuchananSt/"
3561466,"https://facebook.com/pages/category/American-Restaurant/The-Capital-Grille-Phoenix-120355891376475/"
3561467,"https://www.facebook.com/scoopbus/"
3561469,"https://www.facebook.com/revivalchs/"
3561470,"https://facebook.com/pages/category/French-Restaurant/Antoines-restaurant-580913965276036/"
3561471,"https://facebook.com/nanoulasolas/"
3561474,"https://www.facebook.com/REHABBURGERTHERAPY/"
3561476,"https://facebook.com/leosgrandrapids/"
3561477,"http://www.facebook.com/STEAK-SHACK-113241185367989"
3561479,"https://www.facebook.com/BlackForestRestaurantNaples/"
3561480,"https://facebook.com/Five-Points-Pizza-191503761485615/?ref=page_internal&mt_nav=0"
3561481,"https://www.facebook.com/ninetenlajolla/"
3561482,"https://facebook.com/KresChophouse/"
3561483,"https://de-de.facebook.com/fuegobistroaz/"
3561484,"https://facebook.com/lonarestaurantfll/"
3561487,"https://www.facebook.com/BCNhouston/"
3561489,"https://facebook.com/LeonardsBakery/"
3561490,"https://www.facebook.com/redwhiteandbrewaz/"
3561493,"https://facebook.com/DinosaurBBQRochester/"
3561496,"https://facebook.com/peninsulagrill/"
3561497,"https://www.facebook.com/piattilajolla/"
3561498,"https://facebook.com/JeffRubysNashville/"
3561500,"https://www.facebook.com/oysterrestaurant/"
3561501,"https://www.facebook.com/thegreenwell/"
3561502,"https://www.facebook.com/PhxCityGrille/"
3561503,"https://www.facebook.com/RumbaCubanCafe/"
3561504,"https://www.facebook.com/VeronicaFishandOyster/"
3561506,"https://www.facebook.com/SnoozeTownandCountry/?locale2=de_DE"
3561508,"https://www.facebook.com/bhabhapersianbistro/"
3561509,"https://www.facebook.com/BennettsFreshRoast/"
3561511,"https://facebook.com/cafesevilleftlauderdale/"
3561512,"https://facebook.com/marigoldcafeandbakery/"
3561513,"https://www.facebook.com/ElementSRQ/"
3561514,"https://www.facebook.com/PappasBrosDowntown/"
3561515,"https://www.facebook.com/EddieVsLaJolla/"
3561516,"https://www.facebook.com/pages/category/American-Restaurant/The-Capital-Grille-Scottsdale-116490881765810/"
3561517,"https://www.facebook.com/skullsrr/"
3561519,"https://www.facebook.com/VitosMesa/about/"
3561522,"https://facebook.com/levallaurisrestaurant/"
3561523,"https://www.facebook.com/pages/category/European-Restaurant/Phillips-European-Restaurant-190503757647823/"
3561525,"https://www.facebook.com/weolivelajolla/"
3561526,"https://www.facebook.com/OriginalBlueAdobe/"
3561528,"https://facebook.com/pages/Las-Paletas-Gourmet-Popsicles/152523121429659"
3561529,"https://facebook.com/TheParlorPizza/?locale2=de_DE"
3561530,"https://www.facebook.com/OsteriaCelliFM/"
3561531,"https://facebook.com/TheWashingtonInnCapeMay/"
3561532,"https://facebook.com/LaViolettaSRQ/"
3561534,"https://facebook.com/freshfirstfortlauderdale/"
3561535,"https://www.facebook.com/MountainShadowsRestaurant/"
3561536,"https://www.facebook.com/fuseglobalcuisine/"
3561539,"https://www.facebook.com/swigandswinebbq/"
3561540,"https://www.facebook.com/CharlestonsMesa/"
3561543,"https://www.facebook.com/MirosRestaurant/?locale2=de_DE"
3561544,"https://www.facebook.com/arenabar/"
3561545,"https://www.facebook.com/UchiHouston/"
